"lon","lat","PrimLand","pasture","cropland","urban","Hmpop","Dep"
-68.5,-32.5,0.61,0.09,0,0.02,77.41,0
-66.5,-32.5,0.5,0.22,0.01,0,1.37,0
-65.5,-32.5,0.42,0.25,0.05,0,6.75,0
-64.5,-32.5,0.26,0.34,0.35,0,12.63,0
-63.5,-32.5,0.04,0.28,0.58,0,19.84,0
-62.5,-32.5,0.13,0.28,0.56,0,10.91,1
-61.5,-32.5,0.11,0.42,0.42,0,19.07,1
-54.5,-32.5,0.05,0.75,0.03,0,6.29,0
-53.5,-32.5,0.05,0.58,0.13,0,7.49,0
17.5,-32.5,0,0.02,0.01,0,47.69,0
18.5,-32.5,0,0.55,0.11,0,11.88,0
19.5,-32.5,0,0.87,0.02,0,2.04,0
20.5,-32.5,0,0.87,0.03,0,0.39,0
21.5,-32.5,0,0.92,0,0,0.49,0
22.5,-32.5,0,0.91,0.01,0,3.2,0
23.5,-32.5,0,0.91,0.01,0,0.49,0
24.5,-32.5,0,0.82,0.02,0,4.75,0
25.5,-32.5,0,0.76,0.03,0,6.59,0
26.5,-32.5,0,0.67,0.04,0,20.37,0
27.5,-32.5,0,0.45,0.1,0.01,79.11,0
-70.5,-21.5,0.1,0.02,0,0,32.36,0
-69.5,-21.5,0.97,0.03,0,0,4,0
-68.5,-21.5,0.22,0.18,0,0,3.77,0
-67.5,-21.5,0,0.23,0,0,0.49,0
-66.5,-21.5,0,0.34,0,0,2.09,0
-65.5,-21.5,0,0.6,0,0,7.18,1
-64.5,-21.5,0,0.47,0.02,0,18.88,0
13.5,-21.5,0.13,0.04,0,0,0.52,0
14.5,-21.5,0.82,0.13,0,0,0.54,0
-70.5,-22.5,0.19,0.07,0,0,4.13,0
-69.5,-22.5,0.91,0.09,0,0,1.75,0
-68.5,-22.5,0.81,0.18,0,0,7.47,0
-67.5,-22.5,0.06,0.12,0,0,0.44,0
-66.5,-22.5,0,0.13,0,0,0.64,0
-65.5,-22.5,0,0.14,0,0,4.15,0
14.5,-22.5,0.51,0.03,0,0,18.06,0
15.5,-22.5,0.69,0.28,0,0,0.69,0
-70.5,-23.5,0.4,0.1,0,0,8.14,0
-69.5,-23.5,0.84,0.16,0,0,3.54,0
-68.5,-23.5,0.85,0.15,0,0,0.72,0
-67.5,-23.5,0.82,0.06,0,0,0.23,0
-66.5,-23.5,0.28,0.09,0,0,0.65,0
-65.5,-23.5,0,0.15,0.01,0,9.34,0
14.5,-23.5,0.44,0.04,0,0,0.13,0
15.5,-23.5,0.74,0.23,0,0,0.3,0
-70.5,-24.5,0.39,0.15,0,0,5.92,0
-69.5,-24.5,0.9,0.09,0,0,7.26,0
-68.5,-24.5,0.95,0.04,0,0,6.4,0
-67.5,-24.5,0.94,0.03,0,0,0.25,0
-66.5,-24.5,0.88,0.03,0,0,1.09,0
-65.5,-24.5,0.72,0.08,0.05,0.01,64.51,0
14.5,-24.5,0.31,0.03,0,0,0.23,0
15.5,-24.5,0.63,0.34,0,0,0.23,0
16.5,-24.5,0.43,0.54,0,0,0.3,0
-70.5,-25.5,0.36,0.21,0,0,0.91,0
-69.5,-25.5,0.79,0.21,0,0,1.41,0
-68.5,-25.5,0.93,0.07,0,0,2.26,0
-67.5,-25.5,0.9,0.09,0,0,0.1,0
-66.5,-25.5,0.85,0.05,0,0,1.19,0
-65.5,-25.5,0.82,0.04,0.04,0,16.23,0
-51.5,-25.5,0.48,0.17,0.21,0,23.58,0
-50.5,-25.5,0.18,0.51,0.16,0.01,39.28,0
-49.5,-25.5,0.29,0.29,0.23,0.04,244.09,0
14.5,-25.5,0.12,0,0,0,0.25,0
15.5,-25.5,0.73,0.24,0,0,0.25,0
16.5,-25.5,0.47,0.5,0,0,0.24,0
29.5,-25.5,0,0.55,0.21,0.01,61.37,0
30.5,-25.5,0,0.25,0.16,0.01,14.8,0
16.5,-26.5,0.57,0.4,0,0,0.26,0
17.5,-26.5,0.43,0.54,0,0,0.27,0
25.5,-26.5,0,0.7,0.26,0,20.93,0
26.5,-26.5,0,0.68,0.25,0.01,41.81,0
27.5,-26.5,0,0.63,0.23,0.04,316.95,0
28.5,-26.5,0,0.35,0.38,0.03,308.51,0
29.5,-26.5,0,0.29,0.54,0,41.73,0
30.5,-26.5,0,0.26,0.25,0,28.82,0
-73.5,-16.5,0.27,0.01,0,0,2.33,0
-72.5,-16.5,0.65,0.03,0,0,10.09,0
-71.5,-16.5,0.79,0.15,0,0.01,72.16,0
-70.5,-16.5,0.69,0.28,0.01,0,4.77,0
-69.5,-16.5,0,0.33,0.04,0,29.92,1
-68.5,-16.5,0,0.5,0.04,0.02,80.91,1
-67.5,-16.5,0,0.38,0.07,0,45.5,0
-71.5,-17.5,0.41,0.01,0,0,24.7,0
-70.5,-17.5,0.83,0.15,0,0,14.66,0
-69.5,-17.5,0.33,0.41,0,0,3.5,0
